"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2023- 02- 01","105.92","110.87","112.51","105.27","26.72M","-4.46%"
"2023- 01- 01","110.87","106.95","111.95","105.85","356.79M","5.16%"
"2022- 12- 01","105.43","107.92","110.89","105.17","340.73M","-2.16%"
"2022- 11- 01","107.76","102.10","107.88","100.01","416.28M","6.32%"
"2022- 10- 01","101.35","103.61","105.12","98.41","435.07M","-1.07%"
"2022- 09- 01","102.45","108.19","109.25","101.40","449.89M","-6.24%"
"2022- 08- 01","109.27","114.38","114.98","109.21","418.20M","-4.66%"
"2022- 07- 01","114.61","110.66","115.07","109.71","350.61M","4.16%"
"2022- 06- 01","110.03","114.66","114.90","107.10","441.12M","-3.85%"
"2022- 05- 01","114.44","111.69","115.66","110.18","429.56M","1.63%"
"2022- 04- 01","112.60","120.06","121.55","112.38","415.40M","-6.90%"
"2022- 03- 01","120.94","124.84","125.83","118.40","499.99M","-3.09%"
"2022- 02- 01","124.80","127.59","128.30","122.22","421.00M","-2.32%"
"2022- 01- 01","127.76","131.78","131.79","126.85","364.83M","-3.59%"
"2021- 12- 01","132.52","132.77","134.56","131.48","292.48M","-0.41%"
"2021- 11- 01","133.06","132.61","135.31","130.81","326.43M","-0.31%"
"2021- 10- 01","133.48","133.23","134.06","131.54","293.70M","0.34%"
"2021- 09- 01","133.03","135.33","136.26","132.97","314.83M","-1.68%"
"2021- 08- 01","135.30","135.92","136.78","133.57","295.15M","-0.52%"
"2021- 07- 01","136.01","134.05","136.54","133.74","294.33M","1.23%"
"2021- 06- 01","134.36","131.44","134.62","131.11","292.94M","2.01%"
"2021- 05- 01","131.71","131.13","132.34","129.78","229.46M","0.43%"
"2021- 04- 01","131.15","130.46","132.32","129.92","269.55M","0.85%"
"2021- 03- 01","130.05","131.64","132.17","127.91","425.15M","-1.68%"
"2021- 02- 01","132.27","135.37","135.70","129.78","301.93M","-2.46%"
