"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 12월","81.17","81.29","81.62","81.16","121.32M","-0.31%"
"2022년 11월","81.42","80.98","81.42","80.56","125.57M","0.52%"
"2022년 10월","81.00","81.27","81.41","80.73","115.35M","-0.26%"
"2022년 9월","81.21","82.14","82.34","81.00","135.53M","-1.31%"
"2022년 8월","82.29","82.96","82.98","82.25","130.11M","-0.92%"
"2022년 7월","83.05","82.92","83.10","82.34","150.45M","0.31%"
"2022년 6월","82.79","83.24","83.27","81.94","139.33M","-0.67%"
"2022년 5월","83.35","82.87","83.53","82.67","130.40M","0.54%"
"2022년 4월","82.90","83.13","83.46","82.76","122.23M","-0.54%"
"2022년 3월","83.35","84.71","84.86","83.23","109.47M","-1.43%"
"2022년 2월","84.56","84.94","84.97","84.19","102.47M","-0.46%"
"2022년 1월","84.95","85.45","85.49","84.90","108.23M","-0.69%"
"2021년 12월","85.54","85.67","85.75","85.47","74.78M","-0.29%"
